condition,I_initial_mM,final_S_initial_mM,v_mean_mM_per_s,v_mean_mM_per_min,v_sd_mM_per_s,v_sd_mM_per_min,pNP_final_mM,pNP_avg_mM,S_final_est_mM,S_avg_est_mM,Pi_final_est_mM,Pi_avg_est_mM,percent_S_depleted,percent_I_increase_vs_initial
0 mM inhibitor,0.0,10.0,0.0002537813939973574,0.015226883639841442,4.871195291432609e-06,0.0002922717174859566,0.19765253039029082,0.120340421713823,9.802347469609709,9.879659578286176,0.19765253039029082,0.120340421713823,1.9765253039029083,nan
0 mM inhibitor,0.0,7.5,0.000270198204246322,0.016211892254779318,4.705518805392523e-06,0.00028233112832355136,0.2099827405416463,0.12693542884326153,7.290017259458354,7.373064571156738,0.2099827405416463,0.12693542884326153,2.7997698738886174,nan
0 mM inhibitor,0.0,5.0,0.0002800310228616855,0.01680186137170113,7.1314470551431165e-06,0.000427886823308587,0.21681234796081025,0.13203947372530803,4.78318765203919,4.867960526274692,0.21681234796081025,0.13203947372530803,4.336246959216205,nan
0 mM inhibitor,0.0,3.75,0.0002776798099326163,0.016660788595956978,3.6282267609296084e-06,0.0002176936056557765,0.21485575772721188,0.13124159456735865,3.5351442422727883,3.6187584054326414,0.21485575772721188,0.13124159456735865,5.72948687272565,nan
0 mM inhibitor,0.0,2.5,0.00026488025034375815,0.01589281502062549,5.788234328687482e-06,0.00034729405972124894,0.2038545522628289,0.12458466248834789,2.296145447737171,2.3754153375116522,0.2038545522628289,0.12458466248834789,8.154182090513157,nan
0 mM inhibitor,0.0,2.0,0.00024018842099210553,0.014411305259526332,2.2878909079480547e-05,0.001372734544768833,0.18587607219184055,0.11349533305726599,1.8141239278081596,1.886504666942734,0.18587607219184055,0.11349533305726599,9.293803609592027,nan
0 mM inhibitor,0.0,1.25,0.00020662241887904362,0.012397345132742618,1.5448688373137407e-05,0.0009269213023882445,0.1607726503268055,0.09836182807335396,1.0892273496731946,1.151638171926646,0.1607726503268055,0.09836182807335396,12.86181202614444,nan
0 mM inhibitor,0.0,0.625,0.0001344925055618468,0.008069550333710809,6.90732611274437e-06,0.0004144395667646622,0.1048806198802421,0.06394346475536328,0.5201193801197579,0.5610565352446367,0.1048806198802421,0.06394346475536328,16.780899180838738,nan
0 mM inhibitor,0.0,0.125,5.183162936608091e-05,0.0031098977619648544,1.339595931386454e-06,8.037575588318723e-05,0.037470548813250876,0.021483194043891495,0.08752945118674912,0.1035168059561085,0.037470548813250876,0.021483194043891495,29.9764390506007,nan
0 mM inhibitor,0.0,0.0,9.75020239658325e-08,5.85012143794995e-06,9.825477170494038e-08,5.895286302296423e-06,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
1 mM inhibitor,1.0,10.0,0.00021174611302393514,0.012704766781436108,6.22301740076395e-06,0.000373381044045837,0.16553491712179005,0.10011954394967237,9.83446508287821,9.899880456050328,1.1655349171217901,1.1001195439496723,1.6553491712179007,16.553491712179007
1 mM inhibitor,1.0,7.5,0.00021318110464382922,0.012790866278629753,1.08704011014553e-05,0.000652224066087318,0.16952193118270742,0.10220593840448931,7.330478068817293,7.397794061595511,1.1695219311827074,1.1022059384044893,2.2602924157694324,16.952193118270742
1 mM inhibitor,1.0,5.0,0.00021489297224017598,0.01289357833441056,5.486761142472177e-06,0.00032920566854833063,0.16608866907469524,0.0997765749981956,4.833911330925305,4.900223425001804,1.1660886690746952,1.0997765749981956,3.321773381493905,16.608866907469526
1 mM inhibitor,1.0,3.75,0.00021692562893827275,0.013015537736296365,1.1239416061584376e-05,0.0006743649636950625,0.1645750804034211,0.09862977256669517,3.585424919596579,3.6513702274333046,1.1645750804034212,1.0986297725666951,4.3886688107578955,16.45750804034211
1 mM inhibitor,1.0,2.5,0.00020178602077423465,0.01210716124645408,1.1980532055227147e-05,0.0007188319233136289,0.15327854056415532,0.09205501013230909,2.3467214594358445,2.407944989867691,1.1532785405641552,1.092055010132309,6.131141622566213,15.327854056415532
1 mM inhibitor,1.0,2.0,0.00018523672685911798,0.011114203611547078,5.431768304689303e-06,0.0003259060982813582,0.13932399135094464,0.08493006833826239,1.8606760086490555,1.9150699316617377,1.1393239913509445,1.0849300683382623,6.966199567547232,13.932399135094464
1 mM inhibitor,1.0,1.25,0.00015285265767779458,0.009171159460667676,2.644836457437437e-06,0.00015869018744624623,0.11809683315624588,0.07079569859840938,1.131903166843754,1.1792043014015907,1.118096833156246,1.0707956985984093,9.44774665249967,11.809683315624588
1 mM inhibitor,1.0,0.625,0.0001031727714512955,0.00619036628707773,3.377820856807225e-06,0.00020266925140843348,0.07815285895335182,0.04663782307876509,0.5468471410466482,0.5783621769212349,1.0781528589533518,1.0466378230787652,12.504457432536292,7.815285895335182
1 mM inhibitor,1.0,0.125,3.088655717964969e-05,0.0018531934307789814,6.711934286904231e-07,4.027160572142539e-05,0.02167015975702292,0.01224089532024172,0.10332984024297708,0.11275910467975828,1.021670159757023,1.0122408953202418,17.336127805618336,2.167015975702292
1 mM inhibitor,1.0,0.0,6.177609152033658e-08,3.706565491220195e-06,1.0699932920624787e-07,6.419959752374872e-06,3.6916796860345724e-05,1.667210180789807e-05,0.0,0.0,1.0000369167968604,1.000016672101808,nan,0.0036916796860345723
5 mM inhibitor,5.0,10.0,0.00019182816139531197,0.011509689683718719,3.7753903122290795e-06,0.00022652341873374477,0.14763027064452242,0.08799178074884137,9.852369729355477,9.912008219251158,5.147630270644522,5.087991780748841,1.476302706445224,2.952605412890448
5 mM inhibitor,5.0,7.5,0.0001868123893380162,0.011208743360280972,6.095434728812092e-06,0.00036572608372872553,0.14456617650511372,0.08629837155092487,7.355433823494886,7.4137016284490755,5.144566176505114,5.0862983715509245,1.927549020068183,2.8913235301022744
5 mM inhibitor,5.0,5.0,0.00017506674475630015,0.010504004685378009,6.9424876737785305e-06,0.0004165492604267118,0.13552156127432902,0.07961285872595775,4.864478438725671,4.920387141274042,5.135521561274329,5.079612858725958,2.7104312254865803,2.7104312254865803
5 mM inhibitor,5.0,3.75,0.0001686226796914439,0.010117360781486633,1.1599992634900219e-05,0.0006959995580940132,0.12810128510539956,0.07392052682297541,3.6218987148946002,3.6760794731770248,5.1281012851054,5.073920526822976,3.4160342694773216,2.562025702107991
5 mM inhibitor,5.0,2.5,0.00014126331405052761,0.008475798843031656,1.539202943631802e-05,0.0009235217661790811,0.10709562769186286,0.06237747804983571,2.3929043723081374,2.437622521950164,5.107095627691863,5.062377478049836,4.283825107674515,2.1419125538372574
5 mM inhibitor,5.0,2.0,0.0001267355124796186,0.0076041307487771164,1.1455058204739922e-05,0.0006873034922843953,0.09443316636876427,0.05457255267490973,1.9055668336312357,1.9454274473250903,5.0944331663687645,5.05457255267491,4.721658318438213,1.8886633273752853
5 mM inhibitor,5.0,1.25,8.644708074472923e-05,0.005186824844683754,6.166500406302919e-06,0.0003699900243781751,0.06231555310026352,0.03594386063341335,1.1876844468997365,1.2140561393665867,5.062315553100263,5.035943860633413,4.985244248021082,1.2463110620052704
5 mM inhibitor,5.0,0.625,5.4987420065433034e-05,0.003299245203925982,3.062770604986251e-06,0.00018376623629917505,0.039611723031150924,0.0227157387132611,0.5853882769688491,0.602284261286739,5.039611723031151,5.022715738713261,6.337875684984148,0.7922344606230185
5 mM inhibitor,5.0,0.125,1.3178403330832269e-05,0.0007907041998499361,4.521825197455771e-07,2.7130951184734624e-05,0.009339949605667459,0.0054220056808114165,0.11566005039433254,0.11957799431918859,5.009339949605668,5.005422005680812,7.471959684533967,0.1867989921133492
5 mM inhibitor,5.0,0.0,-4.91975861384849e-07,-2.951855168309094e-05,1.240809994611844e-06,7.444859967671064e-05,0.0,0.0,0.0,0.0,5.0,5.0,nan,0.0
10 mM inhibitor,10.0,10.0,0.0001306482463726597,0.00783889478235958,2.910660184842979e-06,0.00017463961109057873,0.09875243160142472,0.05825113285238096,9.901247568398576,9.941748867147618,10.098752431601424,10.058251132852382,0.9875243160142471,0.9875243160142471
10 mM inhibitor,10.0,7.5,0.00012725949282215254,0.0076355695693291524,2.381890591042552e-06,0.0001429134354625531,0.09483925113422809,0.05529659823913845,7.405160748865772,7.4447034017608615,10.094839251134228,10.055296598239138,1.2645233484563745,0.9483925113422809
10 mM inhibitor,10.0,5.0,0.0001280462076262127,0.007682772457572762,2.576174599458317e-06,0.00015457047596749904,0.0955037534777143,0.05395925750126205,4.904496246522286,4.946040742498738,10.095503753477715,10.053959257501262,1.910075069554286,0.955037534777143
10 mM inhibitor,10.0,3.75,0.00011970494669044872,0.007182296801426923,3.1511418683244852e-06,0.0001890685120994691,0.08867414605855035,0.04958878509876306,3.6613258539414497,3.700411214901237,10.088674146058551,10.049588785098763,2.364643894894676,0.8867414605855035
10 mM inhibitor,10.0,2.5,0.00010077838968718801,0.0060467033812312805,8.341513633322593e-06,0.0005004908179993556,0.07479343043906038,0.04041436564675974,2.4252065695609395,2.4595856343532403,10.07479343043906,10.04041436564676,2.9917372175624153,0.7479343043906038
10 mM inhibitor,10.0,2.0,8.182578252485249e-05,0.00490954695149115,2.9304427813347495e-06,0.00017582656688008497,0.06017437888236347,0.03352283327802358,1.9398256211176366,1.9664771667219765,10.060174378882364,10.033522833278024,3.0087189441181734,0.6017437888236347
10 mM inhibitor,10.0,1.25,5.842455248279344e-05,0.0035054731489676063,7.635416902436579e-08,4.581250141461947e-06,0.04315573552974411,0.02382205175465662,1.206844264470256,1.2261779482453434,10.043155735529744,10.023822051754657,3.452458842379529,0.4315573552974411
10 mM inhibitor,10.0,0.625,3.0065605023662573e-05,0.0018039363014197543,9.940238143867696e-07,5.964142886320617e-05,0.02215007811620742,0.012511221542412637,0.6028499218837926,0.6124887784575873,10.022150078116207,10.012511221542413,3.5440124985931867,0.22150078116207417
10 mM inhibitor,10.0,0.125,7.413875272699663e-06,0.0004448325163619798,4.1916957826585105e-07,2.5150174695951063e-05,0.005500602732191508,0.0032141430556797746,0.11949939726780849,0.12178585694432023,10.00550060273219,10.00321414305568,4.400482185753207,0.055006027321915084
10 mM inhibitor,10.0,0.0,9.378057266942665e-08,5.6268343601655985e-06,1.931013707330525e-07,1.1586082243983151e-05,0.0,0.0,0.0,0.0,10.0,10.0,nan,0.0
